radio,1 Sí,2 No,TOTAL
020010101,308,16,324
020010201,407,37,444
020010202,332,38,370
020010203,284,27,311
020010204,526,39,565
020010205,256,19,275
020010206,602,67,669
020010207,376,27,403
020010208,401,39,440
020010209,430,37,467
020010210,292,17,309
020010211,528,37,565
020010212,1056,90,1146
020010213,423,31,454
020010214,612,33,645
020010215,655,51,706
020010216,1003,65,1068
020010217,601,56,657
020010218,404,46,450
020010219,479,18,497
020010301,466,61,527
020010302,477,39,516
020010303,534,55,589
020010304,360,27,387
020010305,1003,144,1147
020010306,853,81,934
020010307,346,25,371
020010308,678,64,742
020010309,936,74,1010
020010310,618,59,677
020010311,620,54,674
020010312,465,44,509
020010313,314,29,343
020010314,374,41,415
020010315,697,66,763
020010316,621,47,668
020010317,484,39,523
020010318,642,67,709
020010319,860,72,932
020010320,316,38,354
020010321,248,24,272
020010322,536,60,596
020010323,703,70,773
020010401,1386,33,1419
020010402,1240,23,1263
020010403,1145,23,1168
020010404,1455,37,1492
020010405,1009,41,1050
020010406,1205,21,1226
020010407,1291,50,1341
020010408,1066,23,1089
020010501,593,21,614
020010502,515,7,522
020010503,889,20,909
020010504,1125,33,1158
020010505,610,13,623
020010506,843,24,867
020010507,558,21,579
020010601,900,21,921
020010602,612,11,623
020010603,1120,12,1132
020010604,760,12,772
020010605,315,7,322
020010606,546,8,554
020010607,483,5,488
020010608,695,16,711
020010609,979,30,1009
020010610,395,10,405
020010701,648,8,656
020010702,761,4,765
020010703,253,5,258
020010704,535,11,546
020010705,391,4,395
020010706,294,4,298
020010707,575,7,582
020010708,578,7,585
020010709,323,3,326
020010710,373,4,377
020010711,208,1,209
020010712,495,3,498
020010713,1416,6,1422
020010801,343,5,348
020010802,1287,18,1305
020010803,1073,12,1085
020010804,568,7,575
020010805,577,7,584
020010806,1096,27,1123
020010807,1278,25,1303
020010808,424,11,435
020010809,645,22,667
020010810,431,6,437
020010901,280,4,284
020010902,376,6,382
020010903,433,10,443
020010904,243,6,249
020010905,380,14,394
020010906,345,7,352
020010907,568,11,579
020010908,248,4,252
020010909,607,10,617
020010910,363,2,365
020010911,407,4,411
020010912,372,3,375
020010913,529,32,561
020010914,244,2,246
020010915,230,2,232
020010916,960,12,972
020010917,342,5,347
020010918,374,10,384
020010919,113,3,116
020011001,303,3,306
020011002,484,4,488
020011003,934,27,961
020011004,415,6,421
020011005,482,17,499
020011006,520,9,529
020011007,300,4,304
020011008,266,7,273
020011009,327,8,335
020011010,634,24,658
020011011,587,13,600
020011012,564,7,571
020011013,658,7,665
020011014,209,5,214
020011101,502,2,504
020011102,414,7,421
020011103,332,17,349
020011104,638,15,653
020011105,510,11,521
020011106,426,10,436
020011107,503,8,511
020011108,785,12,797
020011109,431,9,440
020011110,605,13,618
020011111,254,6,260
020011112,890,19,909
020011113,637,14,651
020011114,747,9,756
020011201,330,5,335
020011202,225,3,228
020011203,706,13,719
020011204,382,8,390
020011205,572,18,590
020011206,445,13,458
020011207,745,25,770
020011208,322,2,324
020011209,1296,28,1324
020011210,290,4,294
020011211,505,7,512
020011212,483,7,490
020011301,557,11,568
020011302,119,3,122
020011303,44,0,44
020011304,675,21,696
020011305,276,5,281
020011306,179,4,183
020011307,474,11,485
020011308,294,4,298
020011309,389,11,400
