radio,1 Sí,2 No,TOTAL
020011310,562,18,580
020011311,268,10,278
020011312,267,9,276
020011313,335,10,345
020011314,1656,136,1792
020011315,0,0,0
020011401,593,11,604
020011402,1019,28,1047
020011403,350,16,366
020011404,68,2,70
020011405,453,13,466
020011406,643,28,671
020011407,438,17,455
020011408,371,16,387
020011409,495,13,508
020011410,405,10,415
020011411,499,10,509
020011412,482,9,491
020011501,677,7,684
020011502,644,13,657
020011503,401,7,408
020011504,724,17,741
020011505,442,10,452
020011506,749,28,777
020011507,551,11,562
020011508,738,35,773
020011509,812,35,847
020011510,603,9,612
020011511,520,21,541
020011601,526,6,532
020011602,305,12,317
020011603,917,16,933
020011604,550,13,563
020011605,432,25,457
020011606,519,19,538
020011607,1027,22,1049
020011608,509,16,525
020011609,364,9,373
020011610,560,17,577
020011611,444,10,454
020011612,341,11,352
020011701,829,27,856
020011702,613,18,631
020011703,680,21,701
020011704,557,8,565
020011705,539,19,558
020011706,719,20,739
020011707,578,17,595
020011708,567,15,582
020011709,414,16,430
020011710,549,14,563
020011711,446,14,460
020011801,795,21,816
020011802,691,22,713
020011803,605,19,624
020011804,692,23,715
020011805,657,17,674
020011806,1101,29,1130
020011807,684,24,708
020011808,644,19,663
020011809,619,14,633
020011901,837,30,867
020011902,997,26,1023
020011903,358,10,368
020011904,679,18,697
020011905,616,14,630
020011906,410,9,419
020011907,708,19,727
020011908,420,18,438
020011909,487,8,495
020012001,581,23,604
020012002,688,20,708
020012003,531,12,543
020012004,723,21,744
020012005,674,13,687
020012006,743,19,762
020012007,455,15,470
020012008,537,14,551
020012009,542,19,561
020012010,774,48,822
020012101,586,15,601
020012102,575,25,600
020012103,376,11,387
020012104,1078,42,1120
020012105,675,25,700
020012106,570,14,584
020012107,735,29,764
020012108,520,19,539
020012109,672,15,687
020012110,764,25,789
020012201,533,18,551
020012202,773,14,787
020012203,764,25,789
020012204,429,11,440
020012205,433,6,439
020012206,549,16,565
020012207,519,14,533
020012208,515,10,525
020012209,829,25,854
020012210,1152,47,1199
020012301,573,15,588
020012302,511,10,521
020012303,759,14,773
020012304,337,16,353
020012305,476,10,486
020012306,467,6,473
020012307,528,19,547
020012308,646,19,665
020012309,856,22,878
020012310,343,11,354
020012401,238,4,242
020012402,271,1,272
020012403,505,12,517
020012404,311,9,320
020012405,313,15,328
020012406,689,15,704
020012407,530,8,538
020012408,392,13,405
020012501,393,18,411
020012502,370,10,380
020012503,489,14,503
020012504,849,31,880
020012505,450,12,462
020012506,708,20,728
020012507,392,11,403
020012508,582,20,602
020012509,577,37,614
020012510,511,14,525
020012511,525,11,536
020012601,612,11,623
020012602,643,17,660
020012603,418,13,431
020012604,523,12,535
020012605,632,29,661
020012606,433,15,448
020012607,299,8,307
020012608,420,15,435
020012609,709,18,727
020012701,553,17,570
020012702,720,35,755
020012703,818,35,853
020012704,742,33,775
020012705,598,25,623
020012706,856,30,886
020012707,783,42,825
020012708,657,23,680
020012709,677,23,700
020012710,497,3,500
020012801,484,12,496
020012802,681,39,720
020012803,610,35,645
020012804,622,17,639
020012805,756,24,780
020012806,576,26,602
020012807,671,33,704
020012808,297,6,303
020012809,685,23,708
020012810,837,41,878
020012811,550,32,582
020012812,534,19,553
020012813,591,29,620
020012901,1022,44,1066
020012902,552,36,588
020012903,747,37,784
020012904,671,28,699
020012905,742,30,772
020012906,930,33,963
020012907,881,19,900
020012908,597,29,626
020012909,852,34,886
020020101,95,3,98
020020102,449,37,486
020020201,558,13,571
020020202,834,23,857
020020203,555,9,564
020020204,510,16,526
020020205,578,8,586
020020206,448,12,460
020020207,283,8,291
020020208,666,15,681
020020301,865,13,878
020020302,715,11,726
020020303,256,2,258
020020304,357,7,364
020020305,681,18,699
020020306,657,10,667
020020307,847,17,864
020020308,576,15,591
020020401,763,33,796
020020402,228,4,232
020020403,363,1,364
020020404,478,11,489
020020405,659,19,678
020020406,525,4,529
020020407,605,6,611
020020408,952,19,971
020020409,772,15,787
020020410,842,18,860
020020501,685,15,700
020020502,814,31,845
020020503,641,12,653
020020504,521,13,534
020020505,734,20,754
020020506,773,17,790
020020507,792,18,810
020020508,661,18,679
020020509,597,9,606
020020601,413,10,423
020020602,1292,27,1319
020020603,606,17,623
020020604,800,19,819
020020605,455,15,470
020020606,650,11,661
020020607,367,14,381
020020608,537,21,558
020020609,476,9,485
020020610,487,12,499
020020701,1357,32,1389
020020702,1026,24,1050
020020703,852,35,887
020020704,638,21,659
020020705,503,12,515
020020706,567,14,581
020020707,884,27,911
020020708,409,12,421
020020709,509,7,516
020020801,673,23,696
020020802,668,16,684
020020803,865,11,876
020020804,1037,32,1069
020020805,864,21,885
020020806,1195,25,1220
020020807,1450,25,1475
020020808,820,13,833
020020901,733,12,745
020020902,654,13,667
020020903,836,11,847
020020904,963,32,995
020020905,981,23,1004
020020906,866,17,883
020020907,912,14,926
020020908,1304,43,1347
020020909,1095,19,1114
020021001,923,21,944
020021002,615,9,624
020021003,420,13,433
020021004,736,22,758
020021005,769,22,791
020021006,660,15,675
020021007,838,12,850
020021008,817,20,837
020021009,577,16,593
020021101,1139,28,1167
020021102,538,12,550
020021103,1544,52,1596
020021104,1316,30,1346
020021105,299,5,304
020021106,508,8,516
020021201,930,19,949
020021202,780,17,797
020021203,882,21,903
020021204,1220,14,1234
020021205,1177,27,1204
020021206,932,19,951
020021301,1140,21,1161
020021302,846,26,872
020021303,926,24,950
020021304,1057,23,1080
020021305,1302,34,1336
020021306,1003,18,1021
020021307,1165,22,1187
020021401,718,15,733
020021402,544,17,561
020021403,337,10,347
020021404,715,14,729
020021405,1074,20,1094
020021406,977,24,1001
020021407,626,9,635
020021408,677,10,687
020021409,1395,45,1440
020021410,957,25,982
020021501,574,13,587
020021502,754,20,774
020021503,1318,40,1358
020021504,590,17,607
020021505,525,15,540
020021506,579,12,591
020021507,728,9,737
020021508,677,9,686
020021601,769,23,792
020021602,685,8,693
020021603,659,18,677
020021604,512,6,518
020021605,801,14,815
020021606,647,17,664
020021607,731,21,752
020021608,405,7,412
020021701,1171,27,1198
020021702,810,14,824
020021703,914,9,923
020021704,332,3,335
020021705,514,11,525
020021706,932,36,968
020021707,1070,27,1097
020021708,875,13,888
020021709,720,10,730
020021801,865,14,879
020021802,1131,25,1156
020021803,750,19,769
020021804,1109,25,1134
020021805,520,14,534
020021806,714,17,731
020021807,572,13,585
020021808,841,14,855
020021901,801,25,826
020021902,634,22,656
020021903,674,22,696
020021904,957,18,975
020021905,758,17,775
020021906,728,9,737
020021907,643,15,658
020021908,792,18,810
020022001,921,24,945
020022002,784,20,804
020022003,721,18,739
020022004,788,21,809
020022005,473,17,490
020022006,612,10,622
020022007,529,20,549
020022008,618,25,643
020022101,1009,24,1033
020022102,915,24,939
020022103,746,11,757
020022104,1005,16,1021
020022105,951,18,969
020022106,895,13,908
020022201,675,12,687
020022202,515,5,520
020022203,416,10,426
020022204,921,14,935
020022205,1048,21,1069
020022206,987,13,1000
020022301,1014,20,1034
020022302,980,25,1005
020022303,890,18,908
020022304,800,21,821
020022305,624,10,634
020022306,393,4,397
020022307,439,6,445
020022308,429,8,437
020022309,909,14,923
020022401,982,16,998
020022402,760,16,776
020022403,751,19,770
020022404,985,35,1020
020022405,893,14,907
020022406,936,18,954
020022501,553,6,559
020022502,620,12,632
020022503,602,38,640
020022504,727,21,748
020022505,894,17,911
020022506,733,12,745
020022507,726,19,745
020022508,1067,104,1171
020022509,736,18,754
020022510,574,16,590
020022511,958,48,1006
020030101,960,32,992
020030102,849,26,875
020030103,895,26,921
020030104,459,13,472
020030105,856,31,887
020030106,662,27,689
020030107,768,41,809
020030108,431,27,458
020030109,510,12,522
020030110,413,9,422
020030111,438,11,449
020030201,692,23,715
020030202,670,23,693
020030203,630,23,653
020030204,680,24,704
020030205,785,45,830
020030206,853,34,887
020030207,928,47,975
020030208,798,30,828
020030209,762,34,796
020030210,387,25,412
020030211,549,21,570
020030212,775,33,808
020030301,999,44,1043
020030302,810,23,833
020030303,565,27,592
020030304,481,15,496
020030305,544,15,559
020030306,774,23,797
020030307,742,22,764
020030308,670,24,694
020030309,271,7,278
020030310,876,39,915
020030311,797,12,809
020030401,690,22,712
020030402,469,15,484
020030403,649,13,662
020030404,726,22,748
020030405,638,21,659
020030406,605,27,632
020030407,634,19,653
020030408,674,20,694
020030501,759,20,779
020030502,605,16,621
020030503,927,13,940
020030504,523,10,533
020030505,584,12,596
020030506,425,8,433
020030507,734,19,753
020030601,681,18,699
020030602,337,6,343
020030603,596,11,607
020030604,595,9,604
020030605,831,17,848
020030606,502,10,512
020030607,650,18,668
020030701,287,10,297
020030702,821,18,839
020030703,925,18,943
020030704,889,9,898
020030705,552,14,566
020030706,557,14,571
020030707,886,16,902
020030708,386,6,392
020030709,858,19,877
020030801,617,18,635
020030802,513,20,533
020030803,793,23,816
020030804,508,18,526
020030805,465,14,479
020030806,444,17,461
020030807,395,17,412
020030808,494,14,508
020030809,674,23,697
020030810,506,22,528
020030901,802,38,840
020030902,462,11,473
020030903,694,38,732
020030904,938,40,978
020030905,531,33,564
020030906,471,12,483
020030907,723,19,742
020030908,693,26,719
020030909,763,22,785
020030910,748,23,771
020031001,736,24,760
020031002,776,27,803
020031003,878,31,909
020031004,668,36,704
020031005,452,8,460
020031006,903,31,934
020031007,702,21,723
020031008,622,13,635
020031101,765,16,781
020031102,884,17,901
020031103,838,28,866
020031104,1128,47,1175
020031105,672,13,685
020031106,869,26,895
020031107,798,21,819
020031108,566,10,576
020031201,645,16,661
020031202,857,18,875
020031203,555,12,567
020031204,463,16,479
020031205,927,24,951
020031206,258,7,265
020031207,882,22,904
020031208,512,13,525
020031209,452,10,462
020031210,773,30,803
020031301,692,25,717
020031302,723,18,741
020031303,771,24,795
020031304,477,23,500
020031305,602,20,622
020031306,690,21,711
020031307,593,23,616
020031308,462,11,473
020031309,681,17,698
020031310,651,19,670
020031311,808,41,849
020031401,815,29,844
020031402,888,33,921
020031403,983,35,1018
020031404,759,19,778
020031405,778,29,807
020031406,1058,21,1079
020031407,594,14,608
020031408,662,29,691
020031409,97,1,98
020031410,862,21,883
020031501,644,25,669
020031502,845,44,889
020031503,614,21,635
020031504,740,20,760
020031505,719,13,732
020031506,767,15,782
020031507,1177,31,1208
020031508,1225,24,1249
020031509,268,2,270
020031601,829,30,859
020031602,1050,30,1080
020031603,849,14,863
020031604,448,8,456
020031605,610,24,634
020031606,685,28,713
020031607,719,33,752
020031608,714,29,743
020031609,1041,49,1090
020031701,685,27,712
020031702,768,29,797
020031703,430,9,439
020031704,829,40,869
020031705,754,31,785
020031706,666,34,700
020031707,831,29,860
020031708,1060,68,1128
020031709,652,27,679
020031801,535,22,557
020031802,690,32,722
020031803,455,14,469
020031804,793,18,811
020031805,368,13,381
020031806,591,28,619
020031807,655,34,689
020031808,505,8,513
020031809,844,21,865
020031810,545,25,570
020031811,555,16,571
020031901,1098,33,1131
020031902,287,3,290
020031903,628,18,646
020031904,691,16,707
020031905,761,22,783
020031906,732,23,755
020031907,890,29,919
020031908,1090,36,1126
020031909,632,25,657
020031910,490,17,507
020032001,571,19,590
020032002,851,11,862
020032003,577,17,594
020032004,586,9,595
020032005,456,8,464
020032006,443,25,468
020032007,756,21,777
020032008,749,25,774
020032009,923,23,946
020032010,600,14,614
020032011,456,11,467
020032101,907,24,931
020032102,866,26,892
020032103,708,15,723
020032104,738,19,757
020032105,479,9,488
020032106,754,27,781
020032107,389,6,395
020032108,646,21,667
020032109,402,7,409
020032110,906,31,937
020032201,736,24,760
020032202,611,22,633
020032203,371,24,395
020032204,491,7,498
020032205,756,23,779
020032206,714,20,734
020032207,695,20,715
020032208,884,27,911
020032209,875,26,901
020032301,743,29,772
020032302,754,23,777
020032303,759,23,782
020032304,419,15,434
020032305,581,28,609
020032306,565,28,593
020032307,612,26,638
020032308,782,54,836
020032309,907,32,939
020032310,962,47,1009
020032401,651,22,673
020032402,794,31,825
020032403,626,12,638
020032404,645,28,673
020032405,483,21,504
020032406,982,46,1028
020032407,622,26,648
020032408,706,20,726
020032409,427,12,439
020032501,1103,57,1160
020032502,661,29,690
020032503,506,27,533
020032504,651,29,680
020032505,744,53,797
020032506,884,35,919
020032507,495,18,513
020032508,1433,60,1493
020032509,690,29,719
020032601,839,30,869
020032602,1070,49,1119
020032603,734,52,786
020032604,494,10,504
020032605,780,27,807
020032606,571,18,589
020032607,765,25,790
020032608,570,6,576
020032609,727,38,765
020032701,894,44,938
020032702,785,33,818
020032703,831,31,862
020032704,775,28,803
020032705,724,31,755
020032706,783,26,809
020032707,872,32,904
020040101,713,30,743
020040102,699,42,741
020040103,573,35,608
020040104,713,50,763
020040105,722,54,776
020040106,640,44,684
020040107,477,23,500
020040108,647,16,663
020040109,605,28,633
020040110,450,19,469
020040111,552,26,578
020040112,499,17,516
020040113,376,17,393
020040114,692,26,718
020040201,697,25,722
020040202,767,29,796
020040203,955,44,999
020040204,729,35,764
020040205,691,13,704
020040206,631,25,656
020040207,840,26,866
020040208,491,16,507
020040209,588,20,608
020040210,930,55,985
020040301,919,26,945
020040302,795,33,828
020040303,596,22,618
020040304,836,41,877
020040305,990,41,1031
020040306,845,25,870
020040307,629,36,665
020040308,777,38,815
020040309,542,11,553
020040310,758,35,793
020040311,849,37,886
020040312,958,58,1016
020040313,538,33,571
020040401,624,21,645
020040402,694,22,716
020040403,847,28,875
020040404,964,41,1005
020040405,946,41,987
020040406,727,38,765
020040407,839,27,866
020040408,717,35,752
020040409,789,34,823
020040410,611,23,634
020040411,878,47,925
020040501,840,23,863
020040502,600,24,624
020040503,748,17,765
020040504,652,39,691
020040505,417,13,430
020040506,871,31,902
020040507,770,47,817
020040508,1023,34,1057
020040509,1912,133,2045
020040510,1160,45,1205
020040511,933,37,970
020040601,1012,38,1050
020040602,750,18,768
020040603,691,28,719
020040604,893,30,923
020040605,689,22,711
020040606,884,18,902
020040607,716,27,743
020040608,838,43,881
020040609,665,21,686
020040610,625,9,634
020040611,609,18,627
020040701,844,34,878
020040702,698,26,724
020040703,843,52,895
020040704,2035,61,2096
020040705,722,19,741
020040706,796,27,823
020040707,735,26,761
020040708,648,17,665
020040709,687,33,720
020040710,572,22,594
020040711,1045,82,1127
020040712,793,42,835
020040801,665,19,684
020040802,734,18,752
020040803,590,20,610
020040804,742,33,775
020040805,569,12,581
020040806,660,28,688
020040807,2206,141,2347
020040808,376,16,392
020040809,1000,49,1049
020040810,689,40,729
020040811,847,24,871
020040901,1317,88,1405
020040902,679,55,734
020040903,494,24,518
020040904,452,26,478
020040905,497,27,524
020040906,778,30,808
020040907,725,26,751
020041001,65,3,68
020041002,1709,116,1825
020041003,1439,114,1553
020041004,403,34,437
020041005,1452,101,1553
020041006,868,71,939
020041007,764,74,838
020041008,1308,144,1452
020041009,1767,146,1913
020041101,789,37,826
020041102,800,24,824
020041103,735,20,755
020041104,598,22,620
020041105,436,10,446
020041106,901,36,937
020041107,903,73,976
020041108,866,27,893
020041109,768,64,832
020041201,571,16,587
020041202,498,22,520
020041203,689,16,705
020041204,906,36,942
020041205,578,20,598
020041206,720,38,758
020041207,452,15,467
020041208,377,12,389
020041209,706,18,724
020041210,807,39,846
020041211,603,16,619
020041212,538,19,557
020041301,827,39,866
020041302,569,24,593
020041303,569,37,606
020041304,460,8,468
020041305,903,21,924
020041306,534,24,558
020041307,831,34,865
020041308,375,23,398
020041309,389,11,400
020041310,462,12,474
020041311,1052,48,1100
020041401,590,24,614
020041402,547,23,570
020041403,602,24,626
020041404,1054,28,1082
020041405,633,13,646
020041406,466,16,482
020041407,701,33,734
020041408,931,34,965
020041409,617,31,648
020041501,598,16,614
020041502,1220,36,1256
020041503,1014,19,1033
020041504,704,15,719
020041505,513,16,529
020041506,560,22,582
020041507,604,18,622
020041508,631,23,654
020041509,612,26,638
020041510,483,21,504
020041601,637,25,662
020041602,1807,64,1871
020041603,1175,32,1207
020041604,609,22,631
020041605,920,29,949
020041606,518,24,542
020041607,375,11,386
020041608,556,19,575
020041609,985,41,1026
020041610,724,32,756
020041701,562,8,570
020041702,545,27,572
020041703,538,21,559
020041704,634,17,651
020041705,717,18,735
020041706,557,23,580
020041707,575,17,592
020041708,917,26,943
020041709,701,29,730
020041710,804,38,842
020041801,73,0,73
020041901,605,37,642
020041902,680,29,709
020041903,824,49,873
020041904,1005,60,1065
020041905,718,49,767
020041906,1036,54,1090
020041907,826,48,874
020041908,1329,101,1430
020041909,967,85,1052
020041910,595,23,618
020042001,862,38,900
020042002,652,31,683
020042003,773,38,811
020042004,536,37,573
020042005,676,44,720
020042006,795,34,829
020042007,794,29,823
020042008,725,32,757
020042009,780,34,814
020042010,1020,44,1064
020042011,832,43,875
020042012,1104,32,1136
020042101,632,31,663
020042102,717,43,760
020042103,513,23,536
020042104,686,39,725
020042105,603,26,629
020042106,683,24,707
020042107,767,36,803
020042108,872,51,923
020042109,751,45,796
020042110,655,43,698
020042111,819,50,869
020042112,517,18,535
020042201,550,17,567
020042202,680,27,707
020042203,821,29,850
020042204,1226,41,1267
020042205,702,37,739
020042206,569,15,584
020042207,847,27,874
020042208,913,43,956
020042209,633,20,653
020042210,528,17,545
020042211,677,25,702
020042212,561,24,585
020042301,768,26,794
020042302,797,35,832
020042303,724,43,767
020042304,754,40,794
020042305,512,17,529
020042306,656,20,676
020042307,606,20,626
020042308,787,29,816
020042309,436,19,455
020042310,740,30,770
020042311,513,31,544
020042312,693,57,750
020042401,1230,93,1323
020042402,1600,128,1728
020042403,1037,103,1140
020042404,1657,154,1811
020042405,1125,129,1254
020042406,1212,98,1310
020042501,1942,192,2134
020042502,1897,156,2053
020042503,3306,325,3631
020042504,1695,168,1863
020042601,835,94,929
020042602,1030,107,1137
020042603,1010,110,1120
020050101,531,11,542
020050102,824,22,846
020050103,728,25,753
020050104,654,16,670
020050105,1036,26,1062
020050106,470,15,485
020050107,582,29,611
020050108,709,13,722
020050109,663,15,678
020050110,646,12,658
020050201,838,21,859
020050202,584,20,604
020050203,664,39,703
020050204,874,34,908
020050205,531,18,549
020050206,579,13,592
020050207,526,24,550
020050208,961,49,1010
020050209,788,22,810
020050210,646,15,661
020050211,793,25,818
020050301,714,20,734
020050302,1077,30,1107
020050303,345,12,357
020050304,548,15,563
020050305,690,23,713
020050306,639,12,651
020050307,527,18,545
020050308,330,12,342
020050309,581,14,595
020050310,504,16,520
020050311,795,15,810
020050401,981,28,1009
020050402,682,25,707
020050403,668,14,682
020050404,658,25,683
020050405,685,13,698
020050406,977,20,997
020050407,519,18,537
020050408,1035,27,1062
020050409,722,33,755
020050501,733,29,762
020050502,1285,34,1319
020050503,700,24,724
020050504,686,16,702
020050505,567,11,578
020050506,682,14,696
020050507,841,24,865
020050508,672,18,690
020050601,697,18,715
020050602,945,23,968
020050603,840,13,853
020050604,1397,42,1439
020050605,1070,27,1097
020050606,847,29,876
020050607,828,29,857
020050608,865,31,896
020050701,1132,34,1166
020050702,488,15,503
020050703,605,16,621
020050704,1291,33,1324
020050705,1199,42,1241
020050706,598,18,616
020050707,860,8,868
020050708,863,22,885
020050801,1100,41,1141
020050802,661,18,679
020050803,1100,37,1137
020050804,936,29,965
020050805,376,16,392
020050806,839,21,860
020050807,816,9,825
020050808,787,30,817
020050809,724,19,743
020050901,1022,27,1049
020050902,567,20,587
020050903,530,22,552
020050904,503,10,513
020050905,550,14,564
020050906,532,21,553
020050907,459,12,471
020050908,893,21,914
020050909,869,25,894
020050910,752,26,778
020051001,1094,32,1126
020051002,1021,23,1044
020051003,393,16,409
020051004,535,11,546
020051005,668,20,688
020051006,743,24,767
020051007,1133,40,1173
020051008,625,19,644
020051009,745,17,762
020051010,513,14,527
020051101,1057,42,1099
020051102,802,45,847
020051103,630,36,666
020051104,643,24,667
020051105,701,32,733
020051106,701,18,719
020051107,1002,30,1032
020051108,730,33,763
020051109,943,41,984
020051110,815,21,836
020051201,566,20,586
020051202,1718,49,1767
020051203,900,26,926
020051204,700,18,718
020051205,421,8,429
020051206,1495,41,1536
020051207,830,35,865
020051301,807,26,833
020051302,676,26,702
020051303,716,17,733
020051304,688,23,711
020051305,732,21,753
020051306,781,35,816
020051307,697,18,715
020051308,891,25,916
020051309,960,30,990
020051401,624,24,648
020051402,643,11,654
020051403,1076,34,1110
020051404,880,27,907
020051405,1502,47,1549
020051406,1158,39,1197
020051407,437,7,444
020051408,595,26,621
020051409,862,22,884
020051501,1054,27,1081
020051502,1049,28,1077
020051503,550,16,566
020051504,1129,28,1157
020051505,887,17,904
020051506,809,24,833
020051507,669,27,696
020051508,734,22,756
020051509,384,11,395
020051601,785,24,809
020051602,590,16,606
020051603,603,15,618
020051604,947,36,983
020051605,795,22,817
020051606,681,18,699
020051607,567,19,586
020051608,945,37,982
020051609,867,25,892
020051610,870,35,905
020051611,984,49,1033
020051701,673,17,690
020051702,747,41,788
020051703,697,34,731
020051704,786,28,814
020051705,698,19,717
020051706,740,15,755
020051707,856,21,877
020051708,883,24,907
020051709,521,12,533
020051710,705,24,729
020051711,831,24,855
020051801,888,22,910
020051802,838,32,870
020051803,801,27,828
020051804,733,36,769
020051805,781,23,804
020051806,634,31,665
020051807,674,26,700
020051808,389,12,401
020051809,636,24,660
020051810,773,23,796
020051811,651,39,690
020051901,777,40,817
020051902,642,25,667
020051903,877,26,903
020051904,920,36,956
020051905,724,19,743
020051906,772,19,791
020051907,423,9,432
020051908,876,21,897
020051909,560,25,585
020051910,749,21,770
020051911,989,25,1014
020052001,720,27,747
020052002,875,27,902
020052003,982,38,1020
020052004,741,36,777
020052005,827,44,871
020052006,792,30,822
020052007,839,36,875
020052008,841,31,872
020052009,795,32,827
020052010,888,39,927
020052011,759,36,795
020052012,839,39,878
020052101,805,23,828
020052102,807,28,835
020052103,489,35,524
020052104,854,27,881
020052105,588,24,612
020052106,671,22,693
020052107,664,26,690
020052108,680,24,704
020052109,678,34,712
020052110,553,31,584
020052111,655,23,678
020052201,679,31,710
020052202,767,29,796
020052203,595,17,612
020052204,873,30,903
020052205,737,34,771
020052206,869,32,901
020052207,1500,46,1546
020052208,663,31,694
020052209,838,35,873
020052210,782,46,828
020052211,826,33,859
020052212,840,33,873
020052213,624,31,655
020060101,632,19,651
020060102,778,22,800
020060103,833,34,867
020060104,648,29,677
020060105,1027,42,1069
020060106,877,29,906
020060107,626,33,659
020060108,807,29,836
020060109,669,34,703
020060110,598,12,610
020060111,621,31,652
020060112,593,12,605
020060201,1010,29,1039
020060202,844,33,877
020060203,550,24,574
020060204,621,24,645
020060205,601,17,618
020060206,847,26,873
020060207,686,18,704
020060208,1019,39,1058
020060209,609,28,637
020060210,854,33,887
020060211,1211,53,1264
020060301,907,26,933
020060302,830,27,857
020060303,848,27,875
020060304,583,26,609
020060305,669,23,692
020060306,818,39,857
020060307,817,25,842
020060308,689,23,712
020060309,1060,39,1099
020060310,813,24,837
020060401,518,16,534
020060402,626,19,645
020060403,773,26,799
020060404,719,26,745
020060405,681,26,707
020060406,716,32,748
020060407,633,20,653
020060408,815,31,846
020060409,1032,28,1060
020060410,757,18,775
020060411,712,24,736
020060501,710,12,722
020060502,948,31,979
020060503,729,21,750
020060504,595,13,608
020060505,887,23,910
020060506,625,35,660
020060507,711,21,732
020060508,443,13,456
020060509,539,13,552
020060510,920,24,944
020060511,874,28,902
020060512,347,12,359
020060601,1040,37,1077
020060602,1718,48,1766
020060603,1039,28,1067
020060604,460,10,470
020060605,642,19,661
020060606,741,22,763
020060607,701,15,716
020060608,940,29,969
020060609,710,26,736
020060701,555,21,576
020060702,751,29,780
020060703,907,14,921
020060704,802,30,832
020060705,731,20,751
020060706,650,16,666
020060707,1043,50,1093
020060708,696,25,721
020060709,702,51,753
020060710,726,26,752
020060711,578,14,592
020060712,621,11,632
020060713,471,7,478
020060801,763,31,794
020060802,970,28,998
020060803,603,20,623
020060804,594,14,608
020060805,484,11,495
020060806,1228,52,1280
020060807,620,25,645
020060808,1212,73,1285
020060809,484,17,501
020060810,637,19,656
020060901,572,12,584
020060902,568,14,582
020060903,622,13,635
020060904,974,22,996
020060905,424,7,431
020060906,815,28,843
020060907,510,15,525
020060908,381,11,392
020060909,795,13,808
020060910,693,18,711
020061001,582,11,593
020061002,525,19,544
020061003,722,35,757
020061004,656,24,680
020061005,914,17,931
020061006,887,28,915
020061007,570,13,583
020061008,1164,32,1196
020061009,485,7,492
020061010,889,28,917
020061101,981,36,1017
020061102,509,23,532
020061103,814,28,842
020061104,708,28,736
020061105,546,15,561
