radio,1 Asiste,2 Asistió,3 Nunca asistió,TOTAL
020010101,88,230,6,324
020010201,177,249,18,444
020010202,143,211,16,370
020010203,114,187,10,311
020010204,248,296,21,565
020010205,116,148,11,275
020010206,264,373,32,669
020010207,159,237,7,403
020010208,150,266,24,440
020010209,170,283,14,467
020010210,123,177,9,309
020010211,203,343,19,565
020010212,406,696,44,1146
020010213,178,255,21,454
020010214,215,421,9,645
020010215,230,445,31,706
020010216,305,714,49,1068
020010217,227,400,30,657
020010218,162,264,24,450
020010219,129,355,13,497
020010301,151,325,51,527
020010302,171,323,22,516
020010303,207,350,32,589
020010304,146,217,24,387
020010305,386,611,150,1147
020010306,280,612,42,934
020010307,98,253,20,371
020010308,262,445,35,742
020010309,321,627,62,1010
020010310,191,448,38,677
020010311,158,471,45,674
020010312,148,324,37,509
020010313,106,214,23,343
020010314,132,263,20,415
020010315,178,535,50,763
020010316,183,462,23,668
020010317,150,323,50,523
020010318,204,455,50,709
020010319,331,559,42,932
020010320,119,211,24,354
020010321,57,198,17,272
020010322,177,384,35,596
020010323,264,461,48,773
020010401,392,1022,5,1419
020010402,316,941,6,1263
020010403,267,898,3,1168
020010404,310,1173,9,1492
020010405,281,762,7,1050
020010406,245,977,4,1226
020010407,395,940,6,1341
020010408,291,797,1,1089
020010501,141,468,5,614
020010502,129,393,0,522
020010503,280,624,5,909
020010504,292,863,3,1158
020010505,197,426,0,623
020010506,187,676,4,867
020010507,184,392,3,579
020010601,190,730,1,921
020010602,132,488,3,623
020010603,192,937,3,1132
020010604,176,596,0,772
020010605,80,236,6,322
020010606,121,433,0,554
020010607,124,363,1,488
020010608,144,562,5,711
020010609,248,757,4,1009
020010610,85,314,6,405
020010701,150,501,5,656
020010702,98,667,0,765
020010703,62,196,0,258
020010704,105,438,3,546
020010705,73,320,2,395
020010706,74,223,1,298
020010707,119,458,5,582
020010708,145,435,5,585
020010709,90,236,0,326
020010710,101,275,1,377
020010711,49,158,2,209
020010712,86,409,3,498
020010713,151,1270,1,1422
020010801,104,243,1,348
020010802,331,971,3,1305
020010803,285,794,6,1085
020010804,139,433,3,575
020010805,150,431,3,584
020010806,266,847,10,1123
020010807,337,959,7,1303
020010808,125,309,1,435
020010809,214,446,7,667
020010810,119,316,2,437
020010901,71,212,1,284
020010902,87,289,6,382
020010903,84,356,3,443
020010904,68,181,0,249
020010905,111,277,6,394
020010906,109,242,1,352
020010907,200,378,1,579
020010908,76,172,4,252
020010909,145,470,2,617
020010910,66,299,0,365
020010911,56,353,2,411
020010912,58,315,2,375
020010913,257,302,2,561
020010914,69,175,2,246
020010915,44,187,1,232
020010916,190,775,7,972
020010917,103,239,5,347
020010918,87,294,3,384
020010919,35,81,0,116
020011001,71,233,2,306
020011002,133,353,2,488
020011003,288,668,5,961
020011004,134,286,1,421
020011005,162,329,8,499
020011006,172,352,5,529
020011007,105,197,2,304
020011008,70,196,7,273
020011009,95,238,2,335
020011010,235,418,5,658
020011011,170,427,3,600
020011012,154,415,2,571
020011013,176,478,11,665
020011014,66,145,3,214
020011101,113,385,6,504
020011102,114,302,5,421
020011103,91,248,10,349
020011104,172,479,2,653
020011105,160,356,5,521
020011106,89,340,7,436
020011107,114,392,5,511
020011108,229,558,10,797
020011109,152,288,0,440
020011110,178,437,3,618
020011111,81,179,0,260
020011112,254,647,8,909
020011113,189,457,5,651
020011114,270,482,4,756
020011201,77,254,4,335
020011202,65,163,0,228
020011203,140,566,13,719
020011204,93,292,5,390
020011205,175,409,6,590
020011206,104,346,8,458
020011207,231,526,13,770
020011208,83,241,0,324
020011209,257,1044,23,1324
020011210,71,223,0,294
020011211,90,419,3,512
020011212,85,401,4,490
020011301,107,459,2,568
020011302,26,96,0,122
020011303,10,33,1,44
020011304,214,481,1,696
