radio,1 Asiste,2 Asistió,3 Nunca asistió,TOTAL
020011305,57,222,2,281
020011306,32,150,1,183
020011307,93,389,3,485
020011308,75,219,4,298
020011309,73,325,2,400
020011310,127,452,1,580
020011311,72,204,2,278
020011312,58,218,0,276
020011313,45,300,0,345
020011314,576,1162,54,1792
020011315,0,0,0,0
020011401,126,469,9,604
020011402,296,740,11,1047
020011403,107,252,7,366
020011404,16,54,0,70
020011405,114,345,7,466
020011406,219,442,10,671
020011407,113,340,2,455
020011408,87,296,4,387
020011409,137,369,2,508
020011410,112,300,3,415
020011411,142,362,5,509
020011412,111,377,3,491
020011501,164,515,5,684
020011502,158,495,4,657
020011503,113,293,2,408
020011504,185,548,8,741
020011505,138,313,1,452
020011506,183,578,16,777
020011507,177,382,3,562
020011508,265,497,11,773
020011509,269,568,10,847
020011510,183,427,2,612
020011511,142,397,2,541
020011601,108,423,1,532
020011602,95,218,4,317
020011603,249,674,10,933
020011604,189,370,4,563
020011605,129,319,9,457
020011606,169,361,8,538
020011607,287,756,6,1049
020011608,142,380,3,525
020011609,86,284,3,373
020011610,142,429,6,577
020011611,127,321,6,454
020011612,102,244,6,352
020011701,259,580,17,856
020011702,167,462,2,631
020011703,226,470,5,701
020011704,144,417,4,565
020011705,147,403,8,558
020011706,190,534,15,739
020011707,143,440,12,595
020011708,144,435,3,582
020011709,110,312,8,430
020011710,169,385,9,563
020011711,128,330,2,460
020011801,178,632,6,816
020011802,185,519,9,713
020011803,144,476,4,624
020011804,220,492,3,715
020011805,187,482,5,674
020011806,338,782,10,1130
020011807,213,491,4,708
020011808,198,463,2,663
020011809,183,442,8,633
020011901,265,586,16,867
020011902,262,753,8,1023
020011903,127,237,4,368
020011904,212,476,9,697
020011905,231,388,11,630
020011906,105,304,10,419
020011907,158,564,5,727
020011908,138,298,2,438
020011909,125,363,7,495
020012001,163,434,7,604
020012002,175,522,11,708
020012003,143,389,11,543
020012004,191,549,4,744
020012005,160,524,3,687
020012006,169,586,7,762
020012007,116,351,3,470
020012008,135,412,4,551
020012009,151,408,2,561
020012010,266,540,16,822
020012101,146,443,12,601
020012102,164,423,13,600
020012103,121,260,6,387
020012104,302,794,24,1120
020012105,199,497,4,700
020012106,179,399,6,584
020012107,208,551,5,764
020012108,128,408,3,539
020012109,181,501,5,687
020012110,214,566,9,789
020012201,151,394,6,551
020012202,221,562,4,787
020012203,231,546,12,789
020012204,126,310,4,440
020012205,140,299,0,439
020012206,144,414,7,565
020012207,138,392,3,533
020012208,131,391,3,525
020012209,242,608,4,854
020012210,300,887,12,1199
020012301,201,382,5,588
020012302,158,360,3,521
020012303,180,590,3,773
020012304,115,236,2,353
020012305,117,367,2,486
020012306,109,363,1,473
020012307,180,361,6,547
020012308,181,476,8,665
020012309,249,620,9,878
020012310,98,256,0,354
020012401,69,171,2,242
020012402,82,190,0,272
020012403,131,384,2,517
020012404,79,239,2,320
020012405,98,229,1,328
020012406,193,508,3,704
020012407,123,408,7,538
020012408,101,298,6,405
020012501,115,282,14,411
020012502,104,273,3,380
020012503,115,367,21,503
020012504,250,624,6,880
020012505,103,357,2,462
020012506,193,529,6,728
020012507,92,308,3,403
020012508,143,454,5,602
020012509,209,389,16,614
020012510,141,382,2,525
020012511,153,383,0,536
020012601,175,445,3,623
020012602,177,478,5,660
020012603,120,305,6,431
020012604,148,383,4,535
020012605,199,457,5,661
020012606,110,338,0,448
020012607,83,224,0,307
020012608,117,314,4,435
020012609,192,528,7,727
020012701,146,413,11,570
020012702,198,536,21,755
020012703,207,629,17,853
020012704,181,583,11,775
020012705,171,446,6,623
020012706,229,643,14,886
020012707,261,552,12,825
020012708,159,517,4,680
020012709,183,499,18,700
020012710,143,352,5,500
020012801,111,381,4,496
020012802,189,512,19,720
020012803,202,434,9,645
020012804,158,473,8,639
020012805,215,552,13,780
020012806,153,438,11,602
020012807,178,511,15,704
020012808,80,219,4,303
020012809,203,498,7,708
020012810,282,584,12,878
020012811,158,413,11,582
020012812,162,379,12,553
020012813,165,438,17,620
020012901,326,727,13,1066
020012902,167,398,23,588
020012903,265,502,17,784
020012904,210,480,9,699
020012905,239,523,10,772
020012906,359,598,6,963
020012907,192,695,13,900
020012908,180,427,19,626
020012909,210,660,16,886
020020101,30,68,0,98
020020102,203,275,8,486
020020201,158,409,4,571
020020202,206,648,3,857
020020203,96,467,1,564
020020204,131,392,3,526
020020205,165,415,6,586
020020206,102,356,2,460
020020207,84,204,3,291
020020208,205,476,0,681
020020301,255,617,6,878
020020302,194,526,6,726
020020303,60,197,1,258
020020304,79,285,0,364
020020305,214,485,0,699
020020306,150,513,4,667
020020307,217,646,1,864
020020308,175,415,1,591
020020401,234,558,4,796
020020402,43,188,1,232
020020403,72,292,0,364
020020404,98,389,2,489
020020405,171,505,2,678
020020406,94,431,4,529
020020407,106,500,5,611
020020408,217,750,4,971
020020409,193,594,0,787
020020410,195,663,2,860
020020501,142,556,2,700
020020502,256,584,5,845
020020503,131,521,1,653
020020504,116,415,3,534
020020505,184,567,3,754
020020506,225,564,1,790
020020507,227,580,3,810
020020508,202,469,8,679
020020509,168,432,6,606
020020601,132,289,2,423
020020602,320,992,7,1319
020020603,166,449,8,623
020020604,213,605,1,819
020020605,142,327,1,470
020020606,189,465,7,661
020020607,101,279,1,381
020020608,167,386,5,558
020020609,141,342,2,485
020020610,125,373,1,499
020020701,363,1024,2,1389
020020702,276,765,9,1050
020020703,244,640,3,887
020020704,193,464,2,659
020020705,140,371,4,515
020020706,162,419,0,581
020020707,281,621,9,911
020020708,129,290,2,421
020020709,141,374,1,516
020020801,231,460,5,696
020020802,215,468,1,684
020020803,209,667,0,876
020020804,297,767,5,1069
020020805,247,635,3,885
020020806,362,855,3,1220
020020807,408,1057,10,1475
020020808,226,603,4,833
020020901,226,517,2,745
020020902,184,479,4,667
020020903,235,610,2,847
020020904,297,692,6,995
020020905,291,708,5,1004
020020906,270,609,4,883
020020907,306,616,4,926
020020908,406,933,8,1347
020020909,379,733,2,1114
020021001,306,635,3,944
020021002,190,432,2,624
020021003,189,243,1,433
020021004,226,527,5,758
020021005,267,521,3,791
020021006,210,465,0,675
020021007,283,567,0,850
020021008,234,602,1,837
020021009,153,437,3,593
020021101,351,814,2,1167
020021102,185,363,2,550
020021103,462,1126,8,1596
020021104,396,947,3,1346
020021105,90,212,2,304
020021106,171,342,3,516
020021201,237,704,8,949
020021202,219,573,5,797
020021203,277,621,5,903
020021204,374,855,5,1234
020021205,401,800,3,1204
020021206,309,639,3,951
020021301,354,803,4,1161
020021302,278,588,6,872
020021303,289,654,7,950
020021304,337,741,2,1080
020021305,447,887,2,1336
020021306,285,733,3,1021
020021307,379,800,8,1187
020021401,174,555,4,733
020021402,171,387,3,561
020021403,109,238,0,347
020021404,253,474,2,729
020021405,371,721,2,1094
020021406,335,664,2,1001
020021407,195,437,3,635
020021408,228,458,1,687
020021409,512,920,8,1440
020021410,309,671,2,982
020021501,161,423,3,587
020021502,210,561,3,774
020021503,439,914,5,1358
020021504,176,430,1,607
020021505,161,378,1,540
020021506,189,400,2,591
020021507,212,521,4,737
020021508,231,453,2,686
020021601,180,605,7,792
020021602,177,515,1,693
020021603,216,458,3,677
020021604,123,393,2,518
020021605,249,564,2,815
020021606,197,462,5,664
020021607,231,518,3,752
020021608,112,299,1,412
020021701,435,757,6,1198
020021702,293,530,1,824
020021703,267,652,4,923
020021704,102,231,2,335
020021705,178,346,1,525
020021706,309,656,3,968
020021707,375,714,8,1097
020021708,285,598,5,888
020021709,199,531,0,730
020021801,295,579,5,879
020021802,359,792,5,1156
020021803,253,515,1,769
020021804,304,822,8,1134
020021805,139,391,4,534
020021806,212,517,2,731
020021807,184,400,1,585
020021808,269,586,0,855
020021901,274,545,7,826
020021902,219,432,5,656
020021903,229,465,2,696
020021904,257,717,1,975
020021905,267,502,6,775
020021906,264,471,2,737
020021907,226,428,4,658
020021908,255,553,2,810
020022001,286,655,4,945
020022002,254,546,4,804
020022003,262,473,4,739
020022004,259,547,3,809
020022005,155,333,2,490
020022006,187,432,3,622
020022007,179,364,6,549
020022008,196,422,25,643
020022101,295,732,6,1033
020022102,297,637,5,939
020022103,237,517,3,757
020022104,308,708,5,1021
020022105,310,651,8,969
020022106,285,621,2,908
020022201,211,474,2,687
020022202,134,385,1,520
020022203,135,289,2,426
020022204,247,686,2,935
020022205,342,722,5,1069
020022206,339,658,3,1000
020022301,260,773,1,1034
020022302,346,650,9,1005
020022303,283,620,5,908
020022304,243,576,2,821
020022305,198,431,5,634
020022306,110,287,0,397
020022307,125,320,0,445
020022308,146,290,1,437
020022309,270,649,4,923
020022401,269,728,1,998
020022402,208,566,2,776
020022403,251,518,1,770
020022404,273,743,4,1020
020022405,288,617,2,907
020022406,283,663,8,954
020022501,147,411,1,559
020022502,214,416,2,632
020022503,213,418,9,640
020022504,228,517,3,748
020022505,303,598,10,911
020022506,172,572,1,745
020022507,243,498,4,745
020022508,339,766,66,1171
020022509,250,501,3,754
020022510,201,384,5,590
020022511,226,750,30,1006
020030101,327,660,5,992
020030102,293,577,5,875
020030103,308,611,2,921
020030104,122,346,4,472
020030105,287,591,9,887
020030106,207,467,15,689
020030107,206,592,11,809
020030108,171,275,12,458
020030109,124,396,2,522
020030110,92,329,1,422
020030111,107,340,2,449
020030201,251,457,7,715
020030202,207,480,6,693
020030203,231,415,7,653
020030204,240,460,4,704
020030205,269,554,7,830
020030206,271,608,8,887
020030207,323,647,5,975
020030208,282,535,11,828
020030209,282,511,3,796
020030210,127,277,8,412
020030211,160,407,3,570
020030212,236,559,13,808
020030301,356,678,9,1043
020030302,274,552,7,833
020030303,222,365,5,592
020030304,162,330,4,496
020030305,207,338,14,559
020030306,235,561,1,797
020030307,224,530,10,764
020030308,254,436,4,694
020030309,85,191,2,278
020030310,263,629,23,915
020030311,238,571,0,809
020030401,271,436,5,712
020030402,149,329,6,484
020030403,267,390,5,662
020030404,259,484,5,748
020030405,204,447,8,659
020030406,230,391,11,632
020030407,203,446,4,653
020030408,217,471,6,694
020030501,286,484,9,779
020030502,245,373,3,621
020030503,383,553,4,940
020030504,172,358,3,533
020030505,204,388,4,596
020030506,151,280,2,433
020030507,236,512,5,753
020030601,188,505,6,699
020030602,116,221,6,343
020030603,204,397,6,607
020030604,170,430,4,604
020030605,233,611,4,848
020030606,180,326,6,512
020030607,212,447,9,668
020030701,77,216,4,297
020030702,237,599,3,839
020030703,324,616,3,943
020030704,270,621,7,898
020030705,158,402,6,566
020030706,183,381,7,571
020030707,236,660,6,902
020030708,122,270,0,392
020030709,250,616,11,877
020030801,191,438,6,635
020030802,162,368,3,533
020030803,191,619,6,816
020030804,140,380,6,526
020030805,129,340,10,479
020030806,125,322,14,461
020030807,124,280,8,412
020030808,149,356,3,508
020030809,189,500,8,697
020030810,141,381,6,528
020030901,268,562,10,840
020030902,138,331,4,473
020030903,218,505,9,732
020030904,266,701,11,978
020030905,160,391,13,564
020030906,126,355,2,483
020030907,196,539,7,742
020030908,145,565,9,719
020030909,221,557,7,785
020030910,202,559,10,771
020031001,189,566,5,760
020031002,257,536,10,803
020031003,207,690,12,909
020031004,232,466,6,704
020031005,131,326,3,460
020031006,251,675,8,934
020031007,194,518,11,723
020031008,128,501,6,635
020031101,236,538,7,781
020031102,273,626,2,901
020031103,212,651,3,866
020031104,323,838,14,1175
020031105,176,504,5,685
020031106,238,653,4,895
020031107,209,603,7,819
020031108,158,417,1,576
020031201,157,490,14,661
020031202,243,627,5,875
020031203,137,425,5,567
020031204,138,331,10,479
020031205,235,708,8,951
020031206,73,187,5,265
020031207,269,630,5,904
020031208,150,370,5,525
020031209,106,355,1,462
020031210,217,579,7,803
020031301,196,511,10,717
020031302,198,536,7,741
020031303,221,569,5,795
020031304,136,362,2,500
020031305,170,447,5,622
020031306,218,486,7,711
020031307,130,478,8,616
020031308,112,358,3,473
020031309,171,520,7,698
020031310,189,472,9,670
020031311,204,630,15,849
020031401,223,603,18,844
020031402,266,646,9,921
020031403,301,710,7,1018
020031404,198,564,16,778
020031405,230,562,15,807
020031406,289,777,13,1079
020031407,178,413,17,608
020031408,167,520,4,691
020031409,23,75,0,98
020031410,195,683,5,883
020031501,182,480,7,669
020031502,247,631,11,889
020031503,195,435,5,635
020031504,210,545,5,760
020031505,158,566,8,732
020031506,204,575,3,782
020031507,325,870,13,1208
020031508,341,898,10,1249
020031509,51,217,2,270
020031601,242,606,11,859
020031602,298,774,8,1080
020031603,238,620,5,863
020031604,135,320,1,456
020031605,177,448,9,634
020031606,198,513,2,713
020031607,215,524,13,752
020031608,189,549,5,743
020031609,330,744,16,1090
020031701,186,517,9,712
020031702,234,553,10,797
020031703,106,331,2,439
020031704,280,581,8,869
020031705,198,566,21,785
020031706,176,519,5,700
020031707,249,602,9,860
020031708,331,763,34,1128
020031709,224,444,11,679
020031801,165,389,3,557
020031802,188,525,9,722
020031803,130,337,2,469
020031804,238,570,3,811
020031805,89,287,5,381
020031806,163,442,14,619
020031807,175,507,7,689
020031808,130,382,1,513
020031809,240,622,3,865
020031810,191,376,3,570
020031811,191,374,6,571
020031901,337,787,7,1131
020031902,77,212,1,290
020031903,125,518,3,646
020031904,210,486,11,707
020031905,202,570,11,783
020031906,217,528,10,755
020031907,270,646,3,919
020031908,300,818,8,1126
020031909,177,471,9,657
020031910,143,360,4,507
020032001,157,428,5,590
020032002,177,679,6,862
020032003,150,438,6,594
020032004,152,436,7,595
020032005,111,349,4,464
020032006,131,335,2,468
020032007,188,581,8,777
020032008,184,584,6,774
020032009,225,711,10,946
020032010,175,434,5,614
020032011,107,359,1,467
020032101,248,672,11,931
020032102,230,654,8,892
020032103,192,525,6,723
020032104,202,547,8,757
020032105,111,374,3,488
020032106,204,569,8,781
020032107,133,260,2,395
020032108,169,486,12,667
020032109,127,280,2,409
020032110,250,675,12,937
020032201,208,537,15,760
020032202,174,453,6,633
020032203,93,297,5,395
020032204,137,361,0,498
020032205,239,535,5,779
020032206,191,531,12,734
020032207,193,517,5,715
020032208,265,642,4,911
020032209,282,610,9,901
020032301,217,549,6,772
020032302,181,593,3,777
020032303,179,593,10,782
020032304,110,322,2,434
020032305,160,440,9,609
020032306,173,413,7,593
020032307,143,483,12,638
020032308,261,563,12,836
020032309,282,636,21,939
020032310,323,674,12,1009
020032401,154,517,2,673
020032402,215,600,10,825
020032403,188,444,6,638
020032404,167,495,11,673
020032405,113,372,19,504
020032406,264,756,8,1028
020032407,162,481,5,648
020032408,179,543,4,726
020032409,100,331,8,439
020032501,360,796,4,1160
020032502,193,481,16,690
020032503,163,358,12,533
020032504,188,487,5,680
020032505,225,564,8,797
020032506,252,655,12,919
020032507,143,361,9,513
020032508,447,1039,7,1493
020032509,172,535,12,719
020032601,232,628,9,869
020032602,342,762,15,1119
020032603,186,577,23,786
020032604,110,386,8,504
020032605,239,563,5,807
020032606,183,405,1,589
020032607,224,559,7,790
020032608,158,415,3,576
020032609,247,512,6,765
020032701,280,651,7,938
020032702,239,577,2,818
020032703,248,606,8,862
020032704,204,595,4,803
020032705,206,541,8,755
020032706,253,551,5,809
020032707,265,627,12,904
020040101,184,548,11,743
020040102,187,537,17,741
020040103,185,412,11,608
020040104,246,496,21,763
020040105,269,479,28,776
020040106,248,420,16,684
020040107,143,345,12,500
020040108,178,479,6,663
020040109,181,447,5,633
020040110,129,336,4,469
020040111,152,416,10,578
020040112,142,371,3,516
020040113,123,262,8,393
020040114,231,477,10,718
020040201,173,535,14,722
020040202,192,594,10,796
020040203,231,754,14,999
020040204,207,548,9,764
020040205,156,545,3,704
020040206,188,457,11,656
020040207,240,614,12,866
020040208,120,378,9,507
020040209,167,436,5,608
020040210,302,659,24,985
020040301,279,647,19,945
020040302,226,589,13,828
020040303,154,450,14,618
020040304,228,633,16,877
020040305,272,751,8,1031
020040306,231,624,15,870
020040307,166,490,9,665
020040308,246,563,6,815
020040309,144,404,5,553
020040310,212,569,12,793
020040311,198,679,9,886
020040312,291,708,17,1016
020040313,152,409,10,571
020040401,156,485,4,645
020040402,196,519,1,716
020040403,225,644,6,875
020040404,293,694,18,1005
020040405,304,675,8,987
020040406,211,546,8,765
020040407,214,643,9,866
020040408,224,515,13,752
020040409,252,554,17,823
020040410,172,456,6,634
020040411,230,684,11,925
020040501,242,616,5,863
020040502,179,443,2,624
020040503,169,596,0,765
020040504,187,488,16,691
020040505,96,327,7,430
020040506,257,642,3,902
020040507,198,613,6,817
020040508,193,853,11,1057
020040509,727,1270,48,2045
020040510,356,836,13,1205
020040511,269,683,18,970
020040601,283,759,8,1050
020040602,231,532,5,768
020040603,203,508,8,719
020040604,289,626,8,923
020040605,223,485,3,711
020040606,224,675,3,902
020040607,209,520,14,743
020040608,285,584,12,881
020040609,176,502,8,686
020040610,145,487,2,634
020040611,158,464,5,627
020040701,264,608,6,878
020040702,231,485,8,724
020040703,317,557,21,895
020040704,517,1565,14,2096
020040705,188,548,5,741
020040706,264,550,9,823
020040707,241,512,8,761
020040708,166,498,1,665
020040709,203,496,21,720
020040710,148,439,7,594
020040711,364,736,27,1127
020040712,200,616,19,835
020040801,172,508,4,684
020040802,213,537,2,752
020040803,141,461,8,610
020040804,219,548,8,775
020040805,127,446,8,581
020040806,188,494,6,688
020040807,815,1497,35,2347
020040808,109,276,7,392
020040809,306,738,5,1049
020040810,244,476,9,729
020040811,245,621,5,871
020040901,457,906,42,1405
020040902,198,503,33,734
020040903,138,371,9,518
020040904,153,318,7,478
020040905,168,342,14,524
020040906,255,546,7,808
020040907,209,538,4,751
020041001,21,47,0,68
020041002,620,1158,47,1825
020041003,579,930,44,1553
020041004,171,253,13,437
020041005,547,965,41,1553
020041006,329,572,38,939
020041007,345,475,18,838
020041008,455,879,118,1452
020041009,680,1156,77,1913
020041101,278,533,15,826
020041102,222,600,2,824
020041103,199,548,8,755
020041104,173,438,9,620
020041105,98,343,5,446
020041106,271,650,16,937
020041107,345,610,21,976
020041108,267,619,7,893
020041109,317,499,16,832
020041201,155,424,8,587
020041202,139,359,22,520
020041203,189,512,4,705
020041204,261,668,13,942
020041205,155,437,6,598
020041206,198,551,9,758
020041207,150,313,4,467
020041208,102,287,0,389
020041209,210,509,5,724
020041210,255,580,11,846
020041211,158,458,3,619
020041212,137,417,3,557
020041301,272,589,5,866
020041302,174,414,5,593
020041303,186,415,5,606
020041304,94,374,0,468
020041305,255,664,5,924
020041306,172,381,5,558
020041307,215,645,5,865
020041308,114,281,3,398
020041309,85,313,2,400
020041310,105,368,1,474
020041311,286,803,11,1100
020041401,168,439,7,614
020041402,150,412,8,570
020041403,176,449,1,626
020041404,288,792,2,1082
020041405,159,484,3,646
020041406,128,354,0,482
020041407,247,484,3,734
020041408,275,688,2,965
020041409,217,429,2,648
020041501,186,423,5,614
020041502,291,960,5,1256
020041503,218,813,2,1033
020041504,187,530,2,719
020041505,125,402,2,529
020041506,169,411,2,582
020041507,170,448,4,622
020041508,187,464,3,654
020041509,186,450,2,638
020041510,160,342,2,504
020041601,166,495,1,662
020041602,541,1315,15,1871
020041603,374,826,7,1207
020041604,171,450,10,631
020041605,248,693,8,949
020041606,137,394,11,542
020041607,122,264,0,386
020041608,166,404,5,575
020041609,295,722,9,1026
020041610,226,525,5,756
020041701,162,407,1,570
020041702,175,395,2,572
020041703,170,384,5,559
020041704,179,471,1,651
020041705,186,544,5,735
020041706,143,431,6,580
020041707,151,440,1,592
020041708,329,609,5,943
020041709,192,533,5,730
020041710,298,531,13,842
020041801,6,67,0,73
020041901,170,463,9,642
020041902,221,480,8,709
020041903,307,550,16,873
020041904,316,737,12,1065
020041905,243,510,14,767
020041906,386,695,9,1090
020041907,309,541,24,874
020041908,526,865,39,1430
020041909,353,673,26,1052
020041910,169,441,8,618
020042001,275,616,9,900
020042002,220,454,9,683
020042003,255,542,14,811
020042004,182,382,9,573
020042005,280,427,13,720
020042006,227,592,10,829
020042007,284,530,9,823
020042008,210,537,10,757
020042009,265,537,12,814
020042010,350,703,11,1064
020042011,287,572,16,875
020042012,272,859,5,1136
020042101,210,446,7,663
020042102,258,472,30,760
020042103,180,349,7,536
020042104,235,474,16,725
020042105,186,435,8,629
020042106,223,473,11,707
020042107,264,528,11,803
020042108,321,582,20,923
020042109,273,509,14,796
020042110,237,450,11,698
020042111,304,552,13,869
020042112,171,356,8,535
020042201,145,418,4,567
020042202,206,491,10,707
020042203,225,618,7,850
020042204,355,905,7,1267
020042205,219,507,13,739
020042206,151,433,0,584
020042207,225,645,4,874
020042208,301,643,12,956
020042209,184,460,9,653
020042210,146,398,1,545
020042211,190,508,4,702
020042212,173,409,3,585
020042301,213,573,8,794
020042302,246,577,9,832
020042303,251,503,13,767
020042304,236,548,10,794
020042305,159,369,1,529
020042306,193,481,2,676
020042307,172,449,5,626
020042308,230,580,6,816
020042309,152,297,6,455
020042310,228,538,4,770
020042311,182,347,15,544
020042312,220,513,17,750
020042401,454,817,52,1323
020042402,625,1042,61,1728
020042403,418,671,51,1140
020042404,696,1068,47,1811
020042405,461,737,56,1254
020042406,561,719,30,1310
020042501,647,1370,117,2134
020042502,741,1240,72,2053
020042503,1256,2196,179,3631
020042504,735,1059,69,1863
020042601,399,496,34,929
020042602,439,670,28,1137
020042603,423,650,47,1120
020050101,149,390,3,542
020050102,243,602,1,846
020050103,245,503,5,753
020050104,180,488,2,670
020050105,332,728,2,1062
020050106,151,329,5,485
020050107,190,416,5,611
020050108,189,528,5,722
020050109,193,483,2,678
020050110,199,453,6,658
020050201,233,619,7,859
020050202,202,397,5,604
020050203,204,470,29,703
020050204,287,617,4,908
020050205,225,321,3,549
020050206,155,431,6,592
020050207,136,399,15,550
020050208,345,660,5,1010
020050209,241,562,7,810
020050210,195,459,7,661
020050211,232,584,2,818
020050301,214,513,7,734
020050302,326,765,16,1107
020050303,93,263,1,357
020050304,151,406,6,563
020050305,208,498,7,713
020050306,200,440,11,651
020050307,164,377,4,545
020050308,113,227,2,342
020050309,180,412,3,595
020050310,166,347,7,520
020050311,236,569,5,810
020050401,193,806,10,1009
020050402,175,522,10,707
020050403,228,449,5,682
020050404,179,497,7,683
020050405,218,478,2,698
020050406,301,687,9,997
020050407,118,411,8,537
020050408,253,807,2,1062
020050409,253,488,14,755
020050501,226,529,7,762
020050502,369,945,5,1319
020050503,197,526,1,724
020050504,234,468,0,702
020050505,184,382,12,578
020050506,185,501,10,696
020050507,278,581,6,865
020050508,211,477,2,690
020050601,197,511,7,715
020050602,248,716,4,968
020050603,261,589,3,853
020050604,429,1002,8,1439
020050605,281,808,8,1097
020050606,253,622,1,876
020050607,227,625,5,857
020050608,254,637,5,896
020050701,330,823,13,1166
020050702,138,362,3,503
020050703,210,401,10,621
020050704,364,956,4,1324
020050705,344,884,13,1241
020050706,184,428,4,616
020050707,204,664,0,868
020050708,222,660,3,885
020050801,295,844,2,1141
020050802,186,492,1,679
020050803,311,820,6,1137
020050804,253,705,7,965
020050805,101,283,8,392
020050806,213,642,5,860
020050807,217,601,7,825
020050808,224,589,4,817
020050809,202,540,1,743
020050901,273,769,7,1049
020050902,191,394,2,587
020050903,150,398,4,552
020050904,151,361,1,513
020050905,165,396,3,564
020050906,191,359,3,553
020050907,131,336,4,471
020050908,269,636,9,914
020050909,249,642,3,894
020050910,231,541,6,778
020051001,314,807,5,1126
020051002,274,766,4,1044
020051003,106,300,3,409
020051004,120,424,2,546
020051005,182,502,4,688
020051006,221,539,7,767
020051007,354,813,6,1173
020051008,193,441,10,644
020051009,191,567,4,762
020051010,150,375,2,527
020051101,325,761,13,1099
020051102,282,559,6,847
020051103,211,446,9,666
020051104,184,469,14,667
020051105,222,509,2,733
020051106,196,521,2,719
020051107,315,712,5,1032
020051108,226,529,8,763
020051109,300,674,10,984
020051110,226,607,3,836
020051201,147,433,6,586
020051202,432,1334,1,1767
020051203,279,642,5,926
020051204,186,529,3,718
020051205,107,319,3,429
020051206,395,1130,11,1536
020051207,247,611,7,865
020051301,192,639,2,833
020051302,189,511,2,702
