radio,1 Urbano,2 Rural agrupado,3 Rural disperso,TOTAL
020012305,250,0,0,250
020012306,274,0,0,274
020012307,314,0,0,314
020012308,364,0,0,364
020012309,509,0,0,509
020012310,191,0,0,191
020012401,216,0,0,216
020012402,237,0,0,237
020012403,254,0,0,254
020012404,260,0,0,260
020012405,232,0,0,232
020012406,540,0,0,540
020012407,509,0,0,509
020012408,247,0,0,247
020012501,236,0,0,236
020012502,297,0,0,297
020012503,337,0,0,337
020012504,510,0,0,510
020012505,319,0,0,319
020012506,404,0,0,404
020012507,271,0,0,271
020012508,420,0,0,420
020012509,189,0,0,189
020012510,246,0,0,246
020012511,308,0,0,308
020012601,295,0,0,295
020012602,405,0,0,405
020012603,308,0,0,308
020012604,291,0,0,291
020012605,391,0,0,391
020012606,288,0,0,288
020012607,202,0,0,202
020012608,281,0,0,281
020012609,398,0,0,398
020012701,310,0,0,310
020012702,199,0,0,199
020012703,337,0,0,337
020012704,360,0,0,360
020012705,364,0,0,364
020012706,384,0,0,384
020012707,252,0,0,252
020012708,363,0,0,363
020012709,344,0,0,344
020012710,366,0,0,366
020012801,277,0,0,277
020012802,371,0,0,371
020012803,264,0,0,264
020012804,323,0,0,323
020012805,460,0,0,460
020012806,320,0,0,320
020012807,347,0,0,347
020012808,96,0,0,96
020012809,304,0,0,304
020012810,413,0,0,413
020012811,251,0,0,251
020012812,264,0,0,264
020012813,277,0,0,277
020012901,454,0,0,454
020012902,250,0,0,250
020012903,300,0,0,300
020012904,295,0,0,295
020012905,335,0,0,335
020012906,349,0,0,349
020012907,388,0,0,388
020012908,279,0,0,279
020012909,433,0,0,433
020020101,14,0,0,14
020020102,124,0,0,124
020020201,335,0,0,335
020020202,523,0,0,523
020020203,303,0,0,303
020020204,240,0,0,240
020020205,361,0,0,361
020020206,289,0,0,289
020020207,196,0,0,196
020020208,428,0,0,428
020020301,610,0,0,610
020020302,735,0,0,735
020020303,112,0,0,112
020020304,267,0,0,267
020020305,503,0,0,503
020020306,555,0,0,555
020020307,511,0,0,511
020020308,347,0,0,347
020020401,473,0,0,473
020020402,252,0,0,252
020020403,259,0,0,259
020020404,322,0,0,322
020020405,459,0,0,459
020020406,301,0,0,301
020020407,446,0,0,446
020020408,716,0,0,716
020020409,529,0,0,529
020020410,722,0,0,722
020020501,406,0,0,406
020020502,433,0,0,433
020020503,338,0,0,338
020020504,413,0,0,413
020020505,523,0,0,523
020020506,525,0,0,525
020020507,473,0,0,473
020020508,523,0,0,523
020020509,393,0,0,393
020020601,238,0,0,238
020020602,843,0,0,843
020020603,317,0,0,317
020020604,482,0,0,482
020020605,285,0,0,285
020020606,603,0,0,603
020020607,334,0,0,334
020020608,329,0,0,329
020020609,527,0,0,527
020020610,515,0,0,515
020020701,809,0,0,809
020020702,773,0,0,773
020020703,548,0,0,548
020020704,390,0,0,390
020020705,445,0,0,445
020020706,560,0,0,560
020020707,695,0,0,695
020020708,315,0,0,315
020020709,429,0,0,429
020020801,540,0,0,540
020020802,456,0,0,456
020020803,714,0,0,714
020020804,676,0,0,676
